batter_name_id,batter,batter_name_new,pitch,pa,ab,game_year,out_zone_swing%,zone_swing%,swing%,zone%,out_zone_contact%,zone_contact%,contact%,first_pitch_strike%,first_pitch_swing%,swstr%,cstr%,csw%,out_zone_swing%_std,zone_swing%_std,swing%_std,out_zone_contact%_std,zone_contact%_std,contact%_std,first_pitch_swing%_std,swstr%_std,cstr%_std,csw%_std,out_zone_swing%_std_percentile,zone_swing%_std_percentile,swing%_std_percentile,out_zone_contact%_std_percentile,zone_contact%_std_percentile,contact%_std_percentile,first_pitch_swing%_std_percentile,swstr%_std_percentile,cstr%_std_percentile,csw%_std_percentile
Alcides Escobar_444876_2015,444876,Alcides Escobar,2311,660,610,2015,35.7,68.7,52.0,49.5,68.6,88.4,81.5,54.0,33.2,9.6,16.7,26.3,0.3257384144830999,0.31864240147101736,0.33690692985968995,0.6517070360275842,0.46008151054328333,0.4917351619287314,0.1951671031146301,-0.3570182893133279,-0.3035092225428405,-0.5088974093156867,28,66,74,78,72,74,61,67,40,25
Alec Asher_594742_2015,594742,Alec Asher,24,6,6,2015,33.3,53.3,45.8,62.5,33.3,62.5,54.5,66.7,0.0,20.8,29.2,50.0,0.1731766329050218,-0.7280794658694965,-0.19954572379800703,-0.7243816021130866,-0.9133568697893756,-1.0589186584670027,-1.6573964483192825,0.8584667047579566,0.9895792839905507,1.4285511231712777,38,15,40,18,10,10,6,13,90,92
Alejandro De Aza_457477_2015,457477,Alejandro De Aza,1463,365,325,2015,30.4,68.6,48.1,46.2,56.5,88.1,77.4,47.7,25.8,10.9,16.8,27.7,-0.01116885316848875,0.3118455062285459,-0.00053909421531271,0.18001659632497485,0.4441729578753369,0.2562655077204906,-0.21775368847003723,-0.21593520964433946,-0.29316451449057324,-0.3944489727974695,50,65,52,50,71,60,41,56,41,34
Alex Avila_488671_2015,488671,Alex Avila,980,218,177,2015,15.3,66.8,40.3,48.6,27.3,73.6,64.6,50.7,26.5,14.3,15.2,29.5,-0.9710367289305613,0.1895013918640705,-0.6754311423653186,-0.9582776879160333,-0.3247404210753793,-0.4788592663930432,-0.17869361359040659,0.15305130641301476,-0.45867984332684747,-0.2473009829883329,90,58,15,16,20,18,43,35,27,48
Alex Dickerson_543105_2015,543105,Alex Dickerson,29,8,8,2015,28.6,73.3,51.7,51.7,75.0,72.7,73.3,50.0,12.5,13.8,17.2,31.0,-0.1255901893520469,0.6312995826246768,0.3109495433923823,0.9011961942173944,-0.3724660790792164,0.02079585351224903,-0.9598951111830203,0.09878858346340386,-0.2517856822815049,-0.12467765814738578,58,82,72,87,18,42,14,38,44,56
Alex Gordon_460086_2015,460086,Alex Gordon,1678,420,354,2015,21.1,65.3,41.9,47.0,56.4,83.3,76.1,48.6,24.2,10.0,16.5,26.5,-0.60234575678354,0.08754796322700752,-0.5369917478730097,0.176118328228259,0.1896361151882034,0.18160439784958426,-0.3070338596234789,-0.3136081109536391,-0.3241986386473747,-0.49254763267022716,83,50,19,49,48,54,34,64,38,26
Alex Guerrero_648717_2015,648717,Alex Guerrero,802,229,218,2015,40.3,78.2,59.2,49.9,53.1,85.0,74.1,50.2,50.6,15.3,11.5,26.8,0.618148495841082,0.9643474495057497,0.95988420507508,0.04747548103663833,0.2797845803065634,0.0667411518943447,1.166088964408307,0.2615767523122366,-0.8414340412607312,-0.46802296770203766,18,91,89,43,57,46,94,30,9,28
Alex Presley_502100_2015,502100,Alex Presley,57,13,12,2015,39.3,58.6,49.1,50.9,45.5,94.1,75.0,53.8,30.8,12.3,19.3,31.6,0.5545810868502162,-0.3678440180185402,0.08598552734238031,-0.24879289431376111,0.762344011234254,0.11842961257420283,0.06124684638446764,-0.06399958538542887,-0.03454681318389501,-0.07562832821100682,20,25,58,28,87,50,54,47,60,61
Alex Rios_425567_2015,425567,Alex Rios,1530,408,382,2015,28.4,65.7,47.3,50.5,65.6,88.8,81.9,50.6,24.2,8.6,17.9,26.5,-0.13830367115022024,0.11473554419689136,-0.0697587914614675,0.5347589931261107,0.48129291410054403,0.5147078111197797,-0.3070338596234789,-0.4655437352125497,-0.17937272591563505,-0.49254763267022716,59,52,47,71,73,76,34,74,50,26
Alex Rodriguez_121347_2015,121347,Alex Rodriguez,2503,618,521,2015,22.7,67.3,43.9,47.5,52.2,73.9,68.0,50.6,31.2,14.1,15.4,29.5,-0.5006379023981549,0.22348586807642484,-0.3639425047576237,0.012391068166196355,-0.3088318684074329,-0.28359174826913564,0.08356688917282795,0.1313462172331703,-0.43799042722231313,-0.2473009829883329,80,60,29,41,20,27,55,37,29,48
